id;name;status;parent_id;grade;create_user;modify_user;create_dt;modify_dt
32775c3f-2f3c-4d1d-a6d0-6902eedde862;Nevada synthesize Electronics;Inactive;Nevada;C;killer red;Persevering Tasty;2023-04-25;2023-04-25
83b592b3-7899-4a01-9973-5e92c3415ee3;real-time Rubber payment;Inactive;Communications;B;Tonga withdrawal networks;Avon XML;2023-04-25;2023-04-25
d4080f13-e75b-4ab0-9511-d04e5b9388ee;salmon circuit Optimization;Active;Central;B;Public-key Cambridgeshire;Garden Cambridgeshire Reactive;2023-04-25;2023-04-26
4042ae69-9bc0-4e7c-b565-ef17a55278d1;Chicken methodologies Human;Inactive;Barbados;C;UIC-Franc digital;Supervisor;2023-04-25;2023-04-25
ecc9e2bb-e034-41b6-914a-c22e71e27b77;hack interface;Active;portals;B;Developer;Licensed quantifying;2023-04-25;2023-04-25
98e1e113-40b8-4cc3-9c2b-19ee33bc9f84;incubate green;Inactive;Virginia synergistic;A;Fresh Pizza;Fantastic;2023-04-25;2023-04-26
5853b093-c0ab-41a6-86ec-976db79e54c8;Mouse;Inactive;Dynamic e-enable Unions;A;Dollar;Sleek array Fort;2023-04-25;2023-04-25
7e423b2c-261a-4e5c-b223-81030a20112c;Steel embrace;Active;calculating Small Account;A;Quetzal South Arizona;neural;2023-04-25;2023-04-25
f2aa3d23-8b67-4b11-bcf0-a3a430924710;virtual;Inactive;Games;A;Fundamental;Nebraska deposit Industrial;2023-04-26;2023-04-25
22d81882-0fa2-403a-93f8-f2f104381c16;Granite up Litas;Inactive;EXE invoice index;C;compress;Buckinghamshire HTTP Accountability;2023-04-25;2023-04-25
