id;name;status;parent_id;grade;create_dt;modify_dt
8a3c0f23-85cc-429f-8845-2c7c74704cac;Steel Account;Inactive;green;A;2023-04-26;2023-04-25
53bcb4b8-ae69-4a90-8fec-6b1d76e57377;lavender program Cambridgeshire;Active;Inlet Shoes;A;2023-04-25;2023-04-25
e35979e1-7c2b-4ac7-89fd-dabad1dbcbbd;black RAM;Inactive;transmitting;C;2023-04-26;2023-04-25
1c869ff4-2102-4987-a21b-caf6a060376a;Tennessee withdrawal Operations;Active;Ball;B;2023-04-26;2023-04-25
20ed08a5-82f9-4152-9d84-5899b69f798f;Mississippi Buckinghamshire Ball;Inactive;task-force Card;C;2023-04-26;2023-04-25
55a50beb-8adc-46d0-96d6-dd644749ed09;Ameliorated;Active;Avon driver;A;2023-04-26;2023-04-25
b2ff04d8-87ca-4deb-95ac-ba632281492f;olive copying;Inactive;Legacy Planner;A;2023-04-25;2023-04-25
1d26689e-6e3e-4f05-90ad-909c29ab3d2a;drive killer;Active;interface;C;2023-04-25;2023-04-26
7924845b-cb3a-4c6c-a6df-192e74b1b951;e-business Reverse-engineered;Active;open-source payment;B;2023-04-25;2023-04-26
76ae5487-b6e9-41cd-9a11-89595103416e;benchmark;Inactive;Unbranded;A;2023-04-25;2023-04-25
